variant,reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v28d_sig02,200,random_train,random_train_b10_p7064,5,22.0,-0.00609974627016368,0.00090025372983632,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b10_p7064,5,25.0,-0.006431861485207929,0.0005681385147920711,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b10_p7064,17,22.0,-0.007249466682547661,-0.000249466682547661,True,0.006079300810590382
v28d_sig02,200,random_train,random_train_b10_p7064,17,25.0,-0.007637850564288062,-0.0006378505642880622,True,0.005896244043710386
v28d_sig02,200,random_train,random_train_b10_p9889,5,22.0,-0.0044860254501838046,0.0025139745498161956,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b10_p9889,5,25.0,-0.004662391096115658,0.002337608903884342,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b10_p9889,17,22.0,-0.00458064638385951,0.00241935361614049,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b10_p9889,17,25.0,-0.004829246866258058,0.002170753133741942,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b11_p6801,5,22.0,-0.004790031217442864,0.002209968782557136,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b11_p6801,5,25.0,-0.005386641825931443,0.001613358174068557,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b11_p6801,17,22.0,-0.004784562258971658,0.0022154377410283418,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b11_p6801,17,25.0,-0.005173702027764598,0.0018262979722354017,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b12_p8403,5,22.0,-0.004942867501724712,0.002057132498275288,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b12_p8403,5,25.0,-0.005030957441424544,0.0019690425585754566,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b12_p8403,17,22.0,-0.005125276788650823,0.0018747232113491769,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b12_p8403,17,25.0,-0.005313083985467831,0.001686916014532169,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b13_p14175,5,22.0,-0.005580923055957171,0.0014190769440428292,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b13_p14175,5,25.0,-0.005915466233708927,0.0010845337662910735,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b13_p14175,17,22.0,-0.004855863825387241,0.0021441361746127588,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b13_p14175,17,25.0,-0.0051720471912855,0.0018279528087144998,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b13_p14394,5,22.0,-0.006446774334766064,0.0005532256652339357,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b13_p14394,5,25.0,-0.006740645204948442,0.0002593547950515583,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b13_p14394,17,22.0,-0.005080306605919777,0.0019196933940802234,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b13_p14394,17,25.0,-0.0054450705966912595,0.0015549294033087406,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b16_p10914,5,22.0,-0.00590091207617609,0.00109908792382391,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b16_p10914,5,25.0,-0.006321386889886571,0.0006786131101134294,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b16_p10914,17,22.0,-0.0059920510469118225,0.0010079489530881777,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b16_p10914,17,25.0,-0.006226994240175643,0.0007730057598243573,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b16_p9682,5,22.0,-0.0055618244399448175,0.0014381755600551827,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b16_p9682,5,25.0,-0.005781586438054736,0.0012184135619452644,False,0.005896244043710386
v28d_sig02,200,random_train,random_train_b16_p9682,17,22.0,-0.0040621627899033895,0.0029378372100966107,False,0.006079300810590382
v28d_sig02,200,random_train,random_train_b16_p9682,17,25.0,-0.0042499190800521225,0.0027500809199478777,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b10_p10572,5,22.0,-0.0071840360041378615,-0.00018403600413786133,True,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b10_p10572,5,25.0,-0.007599074091032603,-0.0005990740910326031,True,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b10_p10572,17,22.0,-0.00577471747208082,0.00122528252791918,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b10_p10572,17,25.0,-0.006058796091322876,0.0009412039086771238,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b11_p12340,5,22.0,-0.005291802933852951,0.0017081970661470495,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b11_p12340,5,25.0,-0.00556067199652217,0.0014393280034778301,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b11_p12340,17,22.0,-0.004731195731972187,0.0022688042680278128,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b11_p12340,17,25.0,-0.00485555979342252,0.00214444020657748,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b12_p6198,5,22.0,-0.007073300227125268,-7.330022712526748e-05,True,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b12_p6198,5,25.0,-0.007445778480058568,-0.0004457784800585675,True,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b12_p6198,17,22.0,-0.004997545437711937,0.002002454562288063,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b12_p6198,17,25.0,-0.005176071452134989,0.001823928547865011,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b15_p7889,5,22.0,-0.004232416508579489,0.0027675834914205107,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b15_p7889,5,25.0,-0.0046726550061357945,0.0023273449938642056,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b15_p7889,17,22.0,-0.004238611146821335,0.002761388853178665,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b15_p7889,17,25.0,-0.004567657715389367,0.0024323422846106333,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b15_p8956,5,22.0,-0.00575822213229375,0.00124177786770625,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b15_p8956,5,25.0,-0.006073495422755454,0.0009265045772445463,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b15_p8956,17,22.0,-0.005312184392498437,0.0016878156075015634,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b15_p8956,17,25.0,-0.005599668868725249,0.001400331131274751,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b16_p10086,5,22.0,-0.00468372577819598,0.0023162742218040206,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b16_p10086,5,25.0,-0.004848492041632329,0.0021515079583676712,False,0.005896244043710386
v28d_sig02,200,random_holdout,random_holdout_b16_p10086,17,22.0,-0.00345084204739266,0.00354915795260734,False,0.006079300810590382
v28d_sig02,200,random_holdout,random_holdout_b16_p10086,17,25.0,-0.0038539177007126998,0.0031460822992873004,False,0.005896244043710386
v28d_sig02,300,curated,baseline_b20_s4242,5,18.0,-0.004275152328854326,0.0027248476711456745,False,0.006323462816354741
v28d_sig02,300,curated,baseline_b20_s4242,5,22.0,-0.004642767184481044,0.002357232815518956,False,0.006079300810590382
v28d_sig02,300,curated,baseline_b20_s4242,5,25.0,-0.004829464610703071,0.0021705353892969292,False,0.005896244043710386
v28d_sig02,300,curated,baseline_b20_s4242,17,18.0,-0.0033076975696278987,0.0036923024303721014,False,0.006323462816354741
v28d_sig02,300,curated,baseline_b20_s4242,17,22.0,-0.0036643842839554127,0.0033356157160445874,False,0.006079300810590382
v28d_sig02,300,curated,baseline_b20_s4242,17,25.0,-0.003992095667043116,0.003007904332956884,False,0.005896244043710386
v28d_sig02,300,curated,baseline_b20_s4242,29,18.0,-0.003518932868333446,0.003481067131666554,False,0.006323462816354741
v28d_sig02,300,curated,baseline_b20_s4242,29,22.0,-0.0036936450538933457,0.0033063549461066545,False,0.006079300810590382
v28d_sig02,300,curated,baseline_b20_s4242,29,25.0,-0.004041643007454681,0.002958356992545319,False,0.005896244043710386
v28d_sig02,300,curated,altseed_b20_s5252,5,18.0,-0.00330693798987976,0.00369306201012024,False,0.006323462816354741
v28d_sig02,300,curated,altseed_b20_s5252,5,22.0,-0.0035165087971669507,0.0034834912028330494,False,0.006079300810590382
v28d_sig02,300,curated,altseed_b20_s5252,5,25.0,-0.0037978182737772427,0.0032021817262227574,False,0.005896244043710386
v28d_sig02,300,curated,altseed_b20_s5252,17,18.0,-0.0041403317227716565,0.0028596682772283437,False,0.006323462816354741
v28d_sig02,300,curated,altseed_b20_s5252,17,22.0,-0.004378695568387797,0.002621304431612203,False,0.006079300810590382
