variant,scenario,block_size,base_path_seed,seed_jitter,path_seed,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate
v25s_nA,pack2603_b10_p8441,10,8441,0,8441,17,25,1200,-0.006409495140439264,0.0005905048595607363,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,3,8444,5,25,1200,-0.0061146499735191375,0.0008853500264808627,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,3,8444,17,25,1200,-0.006131747276616356,0.0008682527233836446,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,7,8448,5,25,1200,-0.006221718782976587,0.0007782812170234127,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,7,8448,17,25,1200,-0.006244717784511394,0.0007552822154886065,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,0,6575,5,25,300,-0.007281161431954908,-0.00028116143195490786,True,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,0,6575,17,25,300,-0.005652051499436622,0.001347948500563378,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,3,6578,5,25,300,-0.006903568837474822,9.643116252517833e-05,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,3,6578,17,25,300,-0.005365637901959568,0.001634362098040432,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,7,6582,5,25,300,-0.007018890406520917,-1.889040652091646e-05,True,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,7,6582,17,25,300,-0.005523289608245491,0.001476710391754509,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,0,6575,5,25,1200,-0.00581525521976059,0.0011847447802394101,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,0,6575,17,25,1200,-0.005533957712171672,0.0014660422878283279,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,3,6578,5,25,1200,-0.006150576056259094,0.0008494239437409059,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,3,6578,17,25,1200,-0.005843395954897595,0.0011566040451024048,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,7,6582,5,25,1200,-0.006185734837441559,0.0008142651625584413,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,rand_b13_p6575,13,6575,7,6582,17,25,1200,-0.005739531947332099,0.0012604680526679011,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,0,8284,5,25,300,-0.005599723749955181,0.0014002762500448188,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,0,8284,17,25,300,-0.00702908477867602,-2.90847786760199e-05,True,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,3,8287,5,25,300,-0.006695762480120836,0.00030423751987916376,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,3,8287,17,25,300,-0.004694507880685645,0.0023054921193143554,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,7,8291,5,25,300,-0.006098948219593386,0.0009010517804066143,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,7,8291,17,25,300,-0.005886007794603359,0.001113992205396641,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,0,8284,5,25,1200,-0.006239439664438601,0.0007605603355613994,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,0,8284,17,25,1200,-0.005739935186799377,0.0012600648132006231,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,3,8287,5,25,1200,-0.00559388622453118,0.0014061137754688199,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,3,8287,17,25,1200,-0.00567877194016112,0.0013212280598388802,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,7,8291,5,25,1200,-0.006304190013027011,0.0006958099869729889,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,holdout_b12_p8284,12,8284,7,8291,17,25,1200,-0.005856040330138551,0.0011439596698614492,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,0,8441,5,25,300,-0.006476413449584766,0.0005235865504152337,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,0,8441,17,25,300,-0.007593644182865755,-0.0005936441828657546,True,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,3,8444,5,25,300,-0.005953794898948461,0.0010462051010515392,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,3,8444,17,25,300,-0.006086032827508131,0.0009139671724918688,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,7,8448,5,25,300,-0.0065780386558021205,0.0004219613441978796,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,7,8448,17,25,300,-0.006554239905244436,0.0004457600947555644,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,0,8441,5,25,1200,-0.006270483319166653,0.0007295166808333475,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,0,8441,17,25,1200,-0.006245280681568965,0.0007547193184310351,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,3,8444,5,25,1200,-0.006103999501378426,0.0008960004986215738,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,3,8444,17,25,1200,-0.0060860328275081305,0.0009139671724918697,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,7,8448,5,25,1200,-0.0062121706776860465,0.0007878293223139536,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,pack2603_b10_p8441,10,8441,7,8448,17,25,1200,-0.00622500628456481,0.0007749937154351901,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,0,6575,5,25,300,-0.0072686015568848685,-0.00026860155688486834,True,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,0,6575,17,25,300,-0.005580068339118322,0.0014199316608816785,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,3,6578,5,25,300,-0.006892737912353214,0.00010726208764678599,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,3,6578,17,25,300,-0.005344814410764031,0.001655185589235969,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,7,6582,5,25,300,-0.007008154606932032,-8.15460693203221e-06,True,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,7,6582,17,25,300,-0.005514676858521766,0.0014853231414782338,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,0,6575,5,25,1200,-0.00580028948102424,0.0011997105189757605,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,0,6575,17,25,1200,-0.0054094797242002,0.0015905202757998003,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,3,6578,5,25,1200,-0.006120220685188027,0.0008797793148119732,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,3,6578,17,25,1200,-0.00580734989600788,0.0011926501039921204,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,7,6582,5,25,1200,-0.006170297577970557,0.0008297024220294434,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
v25s_pA,rand_b13_p6575,13,6575,7,6582,17,25,1200,-0.005709738098227485,0.0012902619017725152,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.06021505376344086
