variant,path_bootstrap_reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25w_n8,600,random_train,random_train_b16_p10914,29,25,-0.005843296743392573,0.0011567032566074274,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b16_p9682,5,25,-0.005565102461953241,0.0014348975380467591,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b16_p9682,17,25,-0.004930226786689634,0.0020697732133103663,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b16_p9682,29,25,-0.005886277909232279,0.0011137220907677207,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altblock_b16_s4242,5,18,-0.0050136004655563175,0.0019863995344436827,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altblock_b16_s4242,5,22,-0.0053753608000718985,0.0016246391999281016,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altblock_b16_s4242,5,25,-0.0056225026769378345,0.0013774973230621657,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altblock_b16_s4242,17,18,-0.004809461528552439,0.0021905384714475612,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altblock_b16_s4242,17,22,-0.005246480214056409,0.0017535197859435908,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altblock_b16_s4242,17,25,-0.005433595726031304,0.0015664042739686962,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altblock_b16_s4242,29,18,-0.005279683402386059,0.0017203165976139414,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altblock_b16_s4242,29,22,-0.005910660197992218,0.0010893398020077822,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altblock_b16_s4242,29,25,-0.006319072275238735,0.0006809277247612653,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altblock_b24_s4242,5,18,-0.0036681555158187104,0.0033318444841812897,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altblock_b24_s4242,5,22,-0.003937609147582088,0.003062390852417912,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altblock_b24_s4242,5,25,-0.00421484548268195,0.00278515451731805,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altblock_b24_s4242,17,18,-0.0036855805809869356,0.0033144194190130646,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altblock_b24_s4242,17,22,-0.003988819947817723,0.003011180052182277,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altblock_b24_s4242,17,25,-0.004100246124929324,0.002899753875070676,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altblock_b24_s4242,29,18,-0.003876343582054165,0.0031236564179458353,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altblock_b24_s4242,29,22,-0.004127423649137108,0.0028725763508628925,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altblock_b24_s4242,29,25,-0.0044093556901619365,0.0025906443098380636,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altseed_b20_s5252,5,18,-0.004331327766107723,0.0026686722338922775,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altseed_b20_s5252,5,22,-0.004692094903157029,0.002307905096842971,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altseed_b20_s5252,5,25,-0.004952985840424062,0.002047014159575938,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altseed_b20_s5252,17,18,-0.0038904564001630616,0.0031095435998369386,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altseed_b20_s5252,17,22,-0.00419077196449224,0.0028092280355077603,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altseed_b20_s5252,17,25,-0.004407907586801163,0.002592092413198837,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,900,curated,altseed_b20_s5252,29,18,-0.00463946793347379,0.00236053206652621,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,900,curated,altseed_b20_s5252,29,22,-0.0050820749957064424,0.0019179250042935577,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,900,curated,altseed_b20_s5252,29,25,-0.00533031643302388,0.0016696835669761205,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
