variant,scenario,scenario_group,pack_seed,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,pack2601_b14_p12220,random_shortblock,2601,14,12220,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.007046784823126811
v25r_n8,pack2601_b14_p12220,random_shortblock,2601,14,12220,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006111608013021307
v25r_n8,pack2601_b15_p11334,random_shortblock,2601,15,11334,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0068611407698358435
v25r_n8,pack2601_b15_p11334,random_shortblock,2601,15,11334,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0055556541620876915
v25r_n8,pack2601_b15_p12670,random_shortblock,2601,15,12670,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005135764364337309
v25r_n8,pack2601_b15_p12670,random_shortblock,2601,15,12670,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006269535617671007
v25r_n8,pack2601_b15_p5628,random_shortblock,2601,15,5628,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005045327481805639
v25r_n8,pack2601_b15_p5628,random_shortblock,2601,15,5628,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005294023543916626
v25r_n8,pack2601_b16_p11705,random_shortblock,2601,16,11705,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005955047441253558
v25r_n8,pack2601_b16_p11705,random_shortblock,2601,16,11705,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005138916668508736
v25r_n8,pack2601_b16_p6660,random_shortblock,2601,16,6660,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004724710752808796
v25r_n8,pack2601_b16_p6660,random_shortblock,2601,16,6660,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0055691602380400105
v25r_n8,pack2601_b18_p6584,random_shortblock,2601,18,6584,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006528866603735933
v25r_n8,pack2601_b18_p6584,random_shortblock,2601,18,6584,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004812042866535882
v25r_n8,pack2602_b11_p11073,random_shortblock,2602,11,11073,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006532006695022863
v25r_n8,pack2602_b11_p11073,random_shortblock,2602,11,11073,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005427261472251738
v25r_n8,pack2602_b11_p7656,random_shortblock,2602,11,7656,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005343722264603906
v25r_n8,pack2602_b11_p7656,random_shortblock,2602,11,7656,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005774751680923884
v25r_n8,pack2602_b13_p12111,random_shortblock,2602,13,12111,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005140181875181876
v25r_n8,pack2602_b13_p12111,random_shortblock,2602,13,12111,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006595781820532409
v25r_n8,pack2602_b13_p5079,random_shortblock,2602,13,5079,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005188101420003255
v25r_n8,pack2602_b13_p5079,random_shortblock,2602,13,5079,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005921613661796238
v25r_n8,pack2602_b13_p6446,random_shortblock,2602,13,6446,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00540415047499414
v25r_n8,pack2602_b13_p6446,random_shortblock,2602,13,6446,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005656838897666222
v25r_n8,pack2602_b13_p7588,random_shortblock,2602,13,7588,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005677958525508714
v25r_n8,pack2602_b13_p7588,random_shortblock,2602,13,7588,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006097408493887846
v25r_n8,pack2602_b13_p9688,random_shortblock,2602,13,9688,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005550533047505434
v25r_n8,pack2602_b13_p9688,random_shortblock,2602,13,9688,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006954495273693462
v25r_n8,pack2602_b14_p7256,random_shortblock,2602,14,7256,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005067149188749997
v25r_n8,pack2602_b14_p7256,random_shortblock,2602,14,7256,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005704467412378006
v25r_n8,pack2602_b14_p8574,random_shortblock,2602,14,8574,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005597349830664144
v25r_n8,pack2602_b14_p8574,random_shortblock,2602,14,8574,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006511412482709522
