variant,scenario,envelope,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,random_train_b15_p7333,random_train,15,7333,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004886304766500116
v25r_n8,random_train_b15_p7333,random_train,15,7333,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005552752109760512
v25r_n8,random_train_b15_p7333,random_train,15,7333,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005578496795156873
v25r_n8,random_train_b15_p7333,random_train,15,7333,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005373775322646701
v25r_n8,random_train_b15_p7333,random_train,15,7333,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005343573222865899
v25r_n8,random_train_b15_p7333,random_train,15,7333,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005928004181264773
v25r_n8,random_train_b15_p7333,random_train,15,7333,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0058978782853094545
v25r_n8,random_train_b16_p9575,random_train,16,9575,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005407459622566074
v25r_n8,random_train_b16_p9575,random_train,16,9575,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005647540046983568
v25r_n8,random_train_b16_p9575,random_train,16,9575,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004436254033204678
v25r_n8,random_train_b16_p9575,random_train,16,9575,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0049451849713474825
v25r_n8,random_train_b16_p9575,random_train,16,9575,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005642602902351024
v25r_n8,random_train_b16_p9575,random_train,16,9575,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006035838610458766
v25r_n8,random_train_b16_p9575,random_train,16,9575,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004652231971044934
