variant,envelope,scenario,block_size,path_seed,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25t_pA,random_holdout,random_holdout_b11_p13416,11,13416,5,25,1200,-0.00569301099313726,0.0013069890068627401,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p13416,11,13416,17,25,1200,-0.006622955358116006,0.00037704464188399386,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p6384,11,6384,5,25,1200,-0.006184246294787888,0.0008157537052121125,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p6384,11,6384,17,25,1200,-0.00553250523076253,0.0014674947692374703,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b12_p8284,12,8284,5,25,1200,-0.006239439664438601,0.0007605603355613994,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b12_p8284,12,8284,17,25,1200,-0.005739935186799377,0.0012600648132006231,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b13_p12612,13,12612,5,25,1200,-0.006009886379116497,0.0009901136208835034,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b13_p12612,13,12612,17,25,1200,-0.005951827772628809,0.0010481722273711913,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b17_p7370,17,7370,5,25,1200,-0.005352750922438393,0.0016472490775616072,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b17_p7370,17,7370,17,25,1200,-0.0050087054756442154,0.0019912945243557847,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b18_p11802,18,11802,5,25,1200,-0.005095224639864343,0.0019047753601356575,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b18_p11802,18,11802,17,25,1200,-0.004960634756966209,0.0020393652430337915,False,0.005251300621383015
v25t_pA,random_train,random_train_b13_p8083,13,8083,5,25,1200,-0.005650177405172441,0.0013498225948275593,False,0.005251300621383015
v25t_pA,random_train,random_train_b13_p8083,13,8083,17,25,1200,-0.005692010989513174,0.0013079890104868265,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p8696,14,8696,5,25,1200,-0.006113342089341956,0.0008866579106580445,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p8696,14,8696,17,25,1200,-0.005435548866389711,0.0015644511336102892,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p9908,14,9908,5,25,1200,-0.005767083087696845,0.0012329169123031555,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p9908,14,9908,17,25,1200,-0.005729499321159232,0.0012705006788407682,False,0.005251300621383015
v25t_pA,random_train,random_train_b15_p7333,15,7333,5,25,1200,-0.005181087358863273,0.0018189126411367268,False,0.005251300621383015
v25t_pA,random_train,random_train_b15_p7333,15,7333,17,25,1200,-0.0054185366835893195,0.0015814633164106806,False,0.005251300621383015
v25t_pA,random_train,random_train_b16_p9575,16,9575,5,25,1200,-0.005547769649896101,0.0014522303501038995,False,0.005251300621383015
v25t_pA,random_train,random_train_b16_p9575,16,9575,17,25,1200,-0.005459105380444162,0.0015408946195558382,False,0.005251300621383015
v25t_pA,random_train,random_train_b17_p10727,17,10727,5,25,1200,-0.005236362024812619,0.0017636379751873816,False,0.005251300621383015
v25t_pA,random_train,random_train_b17_p10727,17,10727,17,25,1200,-0.0056710240813345305,0.0013289759186654697,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p13416,11,13416,5,25,2400,-0.0056983358516956295,0.0013016641483043706,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p13416,11,13416,17,25,2400,-0.0063603986888353505,0.0006396013111646497,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p6384,11,6384,5,25,2400,-0.005851274072106149,0.001148725927893851,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p6384,11,6384,17,25,2400,-0.005900364867322755,0.001099635132677245,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b12_p8284,12,8284,5,25,2400,-0.005769118862682998,0.001230881137317002,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b12_p8284,12,8284,17,25,2400,-0.0055770027902240175,0.0014229972097759827,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b13_p12612,13,12612,5,25,2400,-0.0061640466357665066,0.0008359533642334936,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b13_p12612,13,12612,17,25,2400,-0.005747475753175591,0.0012525242468244095,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b17_p7370,17,7370,5,25,2400,-0.0052822030025256594,0.0017177969974743407,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b17_p7370,17,7370,17,25,2400,-0.005450478132845349,0.001549521867154651,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b18_p11802,18,11802,5,25,2400,-0.004848162237040238,0.0021518377629597624,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b18_p11802,18,11802,17,25,2400,-0.004960634756966209,0.0020393652430337915,False,0.005251300621383015
v25t_pA,random_train,random_train_b13_p8083,13,8083,5,25,2400,-0.005576663261930554,0.0014233367380694466,False,0.005251300621383015
v25t_pA,random_train,random_train_b13_p8083,13,8083,17,25,2400,-0.005618480310589374,0.0013815196894106261,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p8696,14,8696,5,25,2400,-0.00603202769145213,0.0009679723085478705,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p8696,14,8696,17,25,2400,-0.0056053593976777005,0.0013946406023222996,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p9908,14,9908,5,25,2400,-0.005797919815759112,0.0012020801842408885,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p9908,14,9908,17,25,2400,-0.00544735492659742,0.00155264507340258,False,0.005251300621383015
v25t_pA,random_train,random_train_b15_p7333,15,7333,5,25,2400,-0.005463387991591057,0.0015366120084089434,False,0.005251300621383015
v25t_pA,random_train,random_train_b15_p7333,15,7333,17,25,2400,-0.005416978662672456,0.001583021337327544,False,0.005251300621383015
v25t_pA,random_train,random_train_b16_p9575,16,9575,5,25,2400,-0.005694668177822948,0.001305331822177052,False,0.005251300621383015
v25t_pA,random_train,random_train_b16_p9575,16,9575,17,25,2400,-0.005603903507490776,0.0013960964925092238,False,0.005251300621383015
v25t_pA,random_train,random_train_b17_p10727,17,10727,5,25,2400,-0.005377123970134318,0.0016228760298656825,False,0.005251300621383015
v25t_pA,random_train,random_train_b17_p10727,17,10727,17,25,2400,-0.005502137564865406,0.0014978624351345941,False,0.005251300621383015
