variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25v_n8,random_holdout,random_holdout_b17_p5406,17,25,600,1.5074423330370337,-0.005139607977501148,0.0018603920224988524,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b17_p5406,29,22,600,1.630234666983597,-0.005000627789744061,0.0019993722102559395,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b17_p5406,29,25,600,1.5481819169945084,-0.005104024011441543,0.0018959759885584567,False,0.005195956249227418
v25v_n8,random_train,random_train_b10_p14101,5,22,600,1.5590882080141455,-0.006130601568084332,0.0008693984319156686,False,0.005384220548819973
v25v_n8,random_train,random_train_b10_p14101,5,25,600,1.5589591670432128,-0.00657524834813718,0.0004247516518628199,False,0.005195956249227418
v25v_n8,random_train,random_train_b10_p14101,17,22,600,1.5802874999935739,-0.005498199674896426,0.0015018003251035745,False,0.005384220548819973
v25v_n8,random_train,random_train_b10_p14101,17,25,600,1.5524736249935813,-0.005759713743191353,0.0012402862568086474,False,0.005195956249227418
v25v_n8,random_train,random_train_b10_p14101,29,22,600,1.562060666969046,-0.00524865410811735,0.0017513458918826498,False,0.005384220548819973
v25v_n8,random_train,random_train_b10_p14101,29,25,600,1.5461151250055991,-0.005645895702102999,0.0013541042978970014,False,0.005195956249227418
v25v_n8,random_train,random_train_b10_p9889,5,22,600,1.9305831670062616,-0.005893344722170501,0.0011066552778294988,False,0.005384220548819973
v25v_n8,random_train,random_train_b10_p9889,5,25,600,1.6111058329697698,-0.006170054086240089,0.000829945913759911,False,0.005195956249227418
v25v_n8,random_train,random_train_b10_p9889,17,22,600,1.6514636250212789,-0.0056072542851484716,0.0013927457148515286,False,0.005384220548819973
v25v_n8,random_train,random_train_b10_p9889,17,25,600,1.6222455000388436,-0.005793746514786429,0.0012062534852135707,False,0.005195956249227418
v25v_n8,random_train,random_train_b10_p9889,29,22,600,1.6153183749993332,-0.005700904147975932,0.0012990958520240677,False,0.005384220548819973
