variant,envelope,scenario,rows,pass_non_path,pass_case_floor,min_case_path,mean_path,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25r_nA,random_holdout,random_holdout_b18_p11802,8,True,True,-0.005455172563355842,-0.004842037089747484,0.0015448274366441578,0.002157962910252516,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_train,random_train_b13_p8083,8,True,True,-0.005806963696601508,-0.005315855586158731,0.0011930363033984918,0.0016841444138412688,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_train,random_train_b14_p8696,8,True,True,-0.005979096376585696,-0.005291260635092426,0.0010209036234143038,0.0017087393649075746,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_train,random_train_b14_p9908,8,True,True,-0.0060323023736750855,-0.0055714046531878895,0.0009676976263249147,0.0014285953468121107,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_train,random_train_b15_p7333,8,True,True,-0.005927997842112481,-0.005474293201769751,0.0010720021578875189,0.0015257067982302492,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_train,random_train_b16_p9575,8,True,True,-0.006035832614560776,-0.00524983065714478,0.0009641673854392241,0.0017501693428552201,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_train,random_train_b17_p10727,8,True,True,-0.0067181119923485355,-0.005608576522615663,0.00028188800765146464,0.001391423477384337,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,sentinel,altblock_b24_s4242,8,True,True,-0.004331704036036132,-0.0037545984664521586,0.002668295963963868,0.0032454015335478415,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,sentinel,baseline_b20_s4242,8,True,True,-0.006068001540387924,-0.004890748331216213,0.0009319984596120766,0.0021092516687837874,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,sentinel,stress_b30_s10010,8,True,True,-0.003951504731369793,-0.003299189282726115,0.0030484952686302075,0.003700810717273885,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_pA,random_holdout,random_holdout_b11_p13416,8,True,True,-0.006380305173941347,-0.00566298505873531,0.0006196948260586534,0.0013370149412646904,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_holdout,random_holdout_b11_p6384,8,True,True,-0.0062035473538337715,-0.0054993771032130125,0.0007964526461662286,0.0015006228967869876,0.005345294671968026,0.0006707529060632234,0.024086021505376344
